Index,Actors,Number of movies,Number of awards,Genres
1,Cole Konis,1,0,Action War 
2,Gary G.,1,0,Action Comedy 
3,Moreland Scott,1,0,Drama Fiction Science Thriller 
4,George W.-Bush,1,2,Documentary 
5,Jerry Marshall,1,0,Adventure Thriller 
6,Kelan Pannell,1,0,Comedy Drama Romance 
7,DJ Flava,1,0,Drama Fiction Science 
8,Yuria Nara,1,0,Animation Family 
9,Nirattisai Kaljaruek,1,1,Action Crime Thriller 
10,Rebecca Griffiths,1,0,Drama 
11,Max Lewis,1,0,Drama Romance 
12,Zekeria Ebrahimi,1,1,Drama 
13,Ahmad Khan-Mahmoodzada,1,2,Drama 
14,Jordi Moll\u00e0,1,0,Action Adventure Comedy Crime Fiction Science Thriller 
15,Demi Leon,1,0,Action Comedy Crime Drama Mystery Western 
16,Gautam Belur,1,0,Action Adventure Drama 
17,Jesse Kuhn,1,0,Drama Fantasy 
18,Elizabeth Mkandawie,1,0,Fiction Science 
19,David Bierend,1,0,Horror Thriller 
20,Esther Wurmfeld,1,0,Comedy 
21,Hillel Friedman,1,0,Comedy 
22,Ari Folman,1,2,Animation Drama War 
23,Jr. Corey,1,0,Drama Music 
24,Brown Jr.,1,0,Drama Music 
25,Laure Mattos,1,0,Fiction Horror Science 
26,Stan Collymore,1,0,Crime Mystery Thriller 
27,Bill Johnson,1,1,Horror 
28,Ian Michael-Smith,1,2,Comedy Drama Family 
29,Jennifer Prior,1,0,Drama Romance 
30,Charlotte Prior,1,0,Drama Romance 
31,Tommaso Puntelli,1,0,Drama Music Mystery Romance Thriller 
32,Samuele Amighetti,1,0,Drama Music Mystery Romance Thriller 
33,Beverly Peckous,1,0,Drama History War 
34,Lee Briggs,1,0,Action Adventure Drama Thriller 
35,Angelo Josue,1,0,Drama Horror Thriller 
36,Lozano Corzo,1,0,Drama Horror Thriller 
37,Anna Hoelck,1,0,Adventure Animation Comedy Family 
38,Jeffrey Kleiser,1,0,Adventure Drama Romance 
39,Adam Boyd,1,0,Comedy Horror 
40,Peter Ostrum,1,0,Family Fantasy 
41,Chris WIllis,1,1,Drama 
42,Elijah Smith,1,0,Drama 
43,Ferguson Riley,1,0,Drama Romance 
44,Thomas Stewart,1,0,Drama Romance 
45,Connor Funk,1,1,Adventure Animation Family 
46,A. Sanchez,1,0,Animation Comedy Family 
47,Vasilios Mantagas,1,0,Drama 
48,Taylor Ross,1,0,Horror Mystery 
49,Corinne Cl\u00e9ry,1,0,Action Adventure Fiction Science Thriller 
50,Goran Kosti\u0107,1,0,Drama Romance War 
51,Bob Barr,1,0,Comedy 
52,Hunter McCracken,1,5,Drama Fantasy 
53,Finnegan Williams,1,0,Drama Fantasy 
54,Dillon Freasier,1,2,Drama 
55,Karen McLymont,1,0,Action Comedy Crime 
56,Chi Cao,1,1,Drama Romance 
57,Chengwu Guo,1,0,Drama Romance 
58,Wen Bin-Huang,1,0,Drama Romance 
59,Gary 'G.,1,0,Action Comedy 
60,Eythor Gudjonsson,1,0,Horror 
61,Jana Kaderabkova,1,0,Horror 
62,Kim De-Angelo,1,0,Action Adventure Fiction Science 
63,Tyra Kwao-Vovo,1,0,Drama 
64,Antonio Monroy,1,0,Action Adventure Drama Thriller 
65,Keith Wayne,1,0,Horror 
66,Epps Anna,1,0,Comedy 
67,Coronji Calhoun,1,0,Drama Romance 
68,Adrienne Shaw,1,0,Drama Fiction Science 
69,Isaac-Kennedyvio Augusto,1,0,Drama 
70,Nora McMenamy,1,0,Drama 
71,Emilio Tuki-Hito,1,0,Adventure 
72,Nacio Herb-Brown,1,1,Drama Music Romance 
73,Andree Moss,1,0,Comedy 
74,Carolyn Moss,1,0,Comedy 
75,Sajan Bhagat,1,0,Crime Drama 
76,Benjamin Weir,1,0,Crime Drama Mystery Thriller 
77,Michael E.-Williamson,1,0,Drama Thriller 
78,Christina Zenato,1,0,Drama Thriller 
79,Lina Boudreau,1,0,Adventure Animation Comedy Drama 
80,Robert Morgan,1,1,Drama Family Foreign 
81,Harry Simpson,1,0,Crime Horror Thriller 
82,Hendrick Alaistair,1,0,Drama Music Romance 
83,Foley,1,8,Action Adventure Documentary Drama Horror Music Mystery Romance Thriller 
84,Alex Barringer,1,0,Action Adventure Comedy Family Fantasy 
85,Hugh Walsh,1,0,Drama Music Romance 
86,Gerard Hendrick,1,0,Drama Music Romance 
87,Alaistair Foley,1,0,Drama Music Romance 
88,Farrokh Hashemian,1,0,Comedy Drama Family 
89,Bahare Seddiqi,1,0,Comedy Drama Family 
90,Joe Bishop,1,0,Documentary 
91,John P.,1,3,Comedy Crime Drama Romance Thriller 
92,Tenzin Thuthob,1,0,Drama 
93,Migyur Khangsar,1,0,Drama 
94,Gyurme Tethong,1,0,Drama 
95,Herman Osorio,1,0,Drama Romance 
96,Dennis Storh\u00f8i,1,1,Action Adventure Fantasy 
97,Joan Baez,1,5,Documentary History Music 
98,Deems Taylor,1,0,Animation Family Music 
99,Peter Behn,1,0,Animation Drama Family 
100,Stan Alexander,1,0,Animation Drama Family 
101,Darci Kistler,1,0,Family Fantasy Music 
102,Damian Woetzel,1,0,Family Fantasy Music 
103,Simon Chuckster,1,0,Action Drama Romance 
104,Hubert Scales,1,0,Action Drama Romance 
105,Ricardo Dar\u00edn,2,0,Crime Drama Mystery Romance 
106,Dianne Reeves,2,6,Drama History 
107,Ken Bevel,2,0,Drama 
108,Stephen Dervan,2,0,Drama 
109,George McLaren,2,2,Drama Fantasy 
110,Riley Griffiths,2,4,Fiction Mystery Science Thriller 
111,Kyalo Mativo,2,0,Adventure Thriller 
112,Rick Glassey,2,0,Adventure Thriller 
113,Harris Sung,2,14,Action Crime Thriller 
114,Brian H.-Dierker,2,2,Adventure Drama 
115,Hiroki Doi,2,0,Animation Family 
116,Ana López-Mercado,2,0,Drama Romance 
117,Jerzy Kosinski,2,1,Drama History 
118,Kagiso Kuypers,2,0,Action Drama Thriller 
119,Cyril Roy,2,0,Drama Fantasy 
120,Price T.-Morgan,2,0,Horror Thriller 
121,Marion Lambert,2,0,Horror Thriller 
122,Agata Trzebuchowska,2,11,Drama 
123,Aaran Thomas,2,0,Crime Drama Thriller 
124,Sheu Fang-Yi,2,0,Action Drama History 
125,Amancaya Aguilar,2,0,Documentary 
126,Victoria Sus,2,0,Drama History Music 
127,Paulo Araujo,2,0,Action Drama Thriller 
128,Ty Thomas-Reed,2,0,Action Drama Thriller 
129,Elizabeth of-Toro,2,0,Action Adventure Comedy Fantasy Fiction Science 
130,Jaime de-Hoyos,2,0,Action Crime Thriller 
131,Reinol Martinez,2,0,Action Crime Thriller 
132,Tim Burns,2,3,Action Adventure Fiction Science Thriller 
133,Tania Mallet,2,0,Action Adventure Thriller 
134,Larsen Anne,2,0,Drama 
135,Karl Bruckschwaiger,2,0,Drama Romance 
136,Remy Sweeney,2,0,Horror Mystery Thriller 
137,David McCullough,2,0,Drama History 
138,De'Shawn Washington,2,0,Crime Drama Music Romance 
139,Sergi L\u00f3pez,2,0,Drama Fantasy War 
140,Pablo Rosso,2,3,Horror Thriller 
141,William Gates,2,2,Documentary 
142,Aaron Wolff,2,2,Comedy Drama 
143,Chheda,2,0,Drama Romance 
144,Cindy Hodge,2,0,Drama 
145,Danny Lloyd,2,0,Horror Thriller 
146,Anas Wellman,2,0,Drama War 
147,Justin McGuire,2,0,Action Adventure Fiction Science 
148,Stephane Gauger,2,15,Action Adventure Fiction Science 
149,Shyann McClure,2,0,Drama Mystery Thriller 
150,Babatund\u00e9 Mike,2,0,Comedy 
151,Alex Gibney,2,1,Documentary 
152,Natalya Moteva,2,0,Drama Fiction Science 
153,Malcolm Stumpf,2,1,Comedy 
154,Rosie Shaw,2,0,Drama Fiction Science 
155,Daniel Richter,2,0,Adventure Fiction Mystery Science 
156,Elle Peterson,2,0,Drama 
157,Jennifer Sullivan,2,0,Horror Thriller 
158,Julia Winter,2,0,Adventure Comedy Family Fantasy 
159,Mari-Lou Gauthier,2,0,Adventure Animation Comedy Drama 
160,Sarah Berry,2,0,Comedy Fantasy Horror 
161,Connor Corum,2,0,Drama 
162,Sebastien Andrieu,2,0,Action Fiction Science Thriller 
163,Ida Martin,2,0,Action Fiction Science Thriller 
164,Christopher Igoe,2,0,Documentary 
165,S\u00f4 Yamamura,2,1,Action Adventure Drama History War 
166,Sarah Murdoch,2,5,Comedy Romance 
167,Julietta Novis,2,0,Animation Family Music 
168,Abigail Hargrove,3,1,Action Drama Fiction Horror Science Thriller 
169,Ray Allen,3,1,Drama 
170,Amara Miller,3,5,Comedy Drama 
171,Caerthan Banks,3,1,Drama 
172,Marlene Katz,3,2,Comedy Horror 
173,Rachel Covey,3,1,Comedy Family Fantasy Romance 
174,Khulan Chuluun,3,0,History 
175,Stacy Earl,3,0,Drama 
176,Vasily Stepanov,3,2,Action Fantasy Fiction Science Thriller 
177,Noah Ringer,3,1,Action Adventure Family Fantasy 
178,Elvis Polanski,3,0,Comedy Drama 
179,Jade Viggiano,3,0,Documentary 
