Index,Directors,Genres,Number of movies,Number of awards,Number of Facebook Likes
1,\u00c9mile Gaudreault,"Drama, Horror, Mystery, Thriller",0,0,0
2,Abel Ferrara,Action,48,52,220
3,Adam Marcus,"Action, Drama",8,2,18
4,Adam McKay,Comedy,25,1,285
5,Adam Rapp,"Adventure, Family",3,4,9
6,Adam Rifkin,"Adventure, Drama, History",24,9,89
7,Adam Shankman,"Adventure, Comedy, Crime, Drama, Thriller, Western",26,2,163
8,Adrian Lyne,"Action, Adventure, Drama, Family, Fantasy, Fiction, Romance, Science, Thriller",13,1,213
9,Adrienne Shelly,"Fantasy, Horror",7,15,191
10,Agnieszka Wojtowicz-Vosloo,"Action, Adventure, Comedy, Family, Fantasy",2,8,0
11,Agust\u00edn D\u00edaz Yanes,"Drama, Romance",0,0,0
12,Akira Kurosawa,Horror,33,1,0
13,Akiva Goldsman,"Action, Adventure, Drama, Fiction, Romance, Science, War, Western",9,1,167
14,Akiva Schaffer,"Drama, Romance, War",56,1,82
15,Al Silliman Jr.,"Adventure, Animation, Family",3,0,0
16,Alan J. Pakula,"Animation, Comedy, Family, Fantasy",16,3,79
17,Alan Parker,Romance,24,2,317
18,Alan Poul,"Action, Adventure, Comedy, Crime, Drama, Thriller",16,7,16
19,Alan Shapiro,"Drama, Music, Romance",8,3,0
20,Alan Taylor,"Crime, Drama, Thriller",36,1,230
21,Albert Hughes,"Action, Adventure, Comedy, Crime",12,8,117
22,Alejandro Agresti,"Animation, Family",30,40,18
23,Alejandro Amen\u00e1bar,"Animation, Family",13,1,0
24,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"Action, Adventure, Comedy, Drama, Fantasy, Thriller",0,0,0
25,Alejandro Monteverde,"Action, Drama, History, War",7,3,38
26,Aleksey German,"Crime, Drama, Family, Thriller",6,16,23
27,Alex Cox,Drama,23,14,92
28,Alex Garland,"Comedy, Drama, Romance",3,1,232
29,Alex Gibney,"Comedy, Crime",47,1,141
30,Alex Kendrick,"Action, Drama, Fiction, Horror, Science",6,6,589
31,Alex Proyas,"Action, Adventure, Crime, Drama, Fiction, History, Horror, Mystery, Romance, Science, Thriller, War",30,13,295
32,Alex Rivera,"Action, Crime, Fantasy, Fiction, Science, Thriller",6,18,8
33,Alexander Payne,"Comedy, Horror",16,2,729
34,Alexander Witt,"Action, Adventure, Crime, Drama, Family, Fantasy, Fiction, History, Science, Thriller, War",3,0,38
35,Alexandre Aja,"Comedy, Drama, Romance",12,13,192
36,Alfonso Cuar\u00f3n,"Adventure, Animation, Comedy, Family, Fiction, Science",17,4,0
37,Alfred Hitchcock,Drama,72,5,13000
38,Alister Grierson,Comedy,13,5,24
39,Allan Arkush,"Animation, Comedy, Drama, Romance",75,1,13
40,Allan Dwan,"Action, Adventure, Comedy, Crime, Drama, Family, Fantasy, Fiction, Romance, Science",407,2,23
41,Allen Hughes,"Comedy, Crime, Drama",14,2,90
42,Allison Anders,"Animation, Family",32,1,99
43,Amy Heckerling,"Comedy, Romance",20,5,143
44,Anand Tucker,"Adventure, Animation, Comedy, Family, Fantasy",16,8,14
45,Andr\u00e9 \u00d8vredal,"Action, Adventure, Animation, Comedy, Family",0,0,0
46,Andrea Arnold,Drama,13,1,121
47,Andrea Di Stefano,"Horror, Thriller",2,0,30
48,Andrei Konchalovsky,Horror,29,1,0
49,Andrew Adamson,"Comedy, Drama",8,1,80
50,Andrew Bergman,"Adventure, Animation, Comedy, Family, Fantasy, Fiction, Science",6,1,31
51,Andrew Currie,"Action, Adventure, Thriller",8,16,8
52,Andrew Davis,"Animation, Family, Music",18,1,99
53,Andrew Dominik,"Adventure, Crime, Drama, Fiction, History, Horror, Mystery, Romance, Science, Thriller",10,19,181
54,Andrew Douglas,"Action, Comedy, Thriller",16,7,15
55,Andrew Fleming,"Adventure, Crime, Drama, Fiction, Romance, Science, Thriller",29,5,26
56,Andrew Morahan,"Action, Crime, Drama, Fiction, Horror, Mystery, Science, Thriller",150,8,5
57,Andrew Niccol,Drama,8,1,487
58,Andrew Stanton,"Animation, Drama, Family, Fantasy, Music",10,2,475
59,Andrzej Bartkowiak,"Action, Adventure, Drama, Fiction, History, Mystery, Science, Thriller",10,3,43
60,Andy Fickman,"Drama, Horror, Thriller",22,3,99
61,Andy Garc\u00eda,"Comedy, Crime, Drama, Romance, Thriller",7,1,0
62,Andy Muschietti,"Action, Comedy, Romance",8,16,0
63,Andy Tennant,"Drama, History",29,3,72
64,Ang Lee,Comedy,18,2,0
65,Angela Robinson,"Comedy, Drama, Romance",12,12,23
66,Angelina Jolie,"Comedy, Drama",6,1,0
67,Annabel Jankel,Drama,15,1,5
68,Anne Fletcher,"Action, Adventure, Drama, Fantasy, Fiction, Mystery, Science, Thriller",11,0,98
69,Anne Fontaine,"Comedy, Drama, Romance",18,1,105
70,Anthony Hemingway,"Crime, Drama, Western",47,1,143
71,Anthony Mann,"Comedy, Romance",42,1,75
72,Anthony Minghella,Comedy,9,1,333
73,Anthony Russo,"Action, Adventure, Horror, Thriller",23,1,94
74,Anthony Silverston,"Comedy, Music",2,4,0
75,Anthony Stacchi,Comedy,4,1,0
76,Antoine Fuqua,"Adventure, Fiction, Horror, Science",68,14,845
77,Anton Corbijn,"Animation, Family",104,33,210
78,Antony Hoffman,Drama,3,0,14
79,Ari Folman,"Drama, Music, Mystery, Romance, Thriller",6,2,56
80,Ari Sandel,"Crime, Thriller",10,1,17
81,Ariel Vromen,"Comedy, Crime, Drama, Fantasy, Horror, Music, Mystery, Romance, Thriller, War",7,2,34
82,Asger Leth,"Crime, Drama, Fantasy, Fiction, Horror, Romance, Science, Thriller",5,20,20
83,Ash Brannon,"Action, Comedy, Crime, Fiction, Horror, Music, Science, Thriller",4,1,9
84,Atom Egoyan,"Comedy, Family",40,2,460
85,Ava DuVernay,"Action, Fantasy, Fiction, Science, Thriller",22,1,151
86,Ayan Mukherjee,"Adventure, Drama, Family",3,15,0
87,Babak Najafi,"Comedy, Drama, Family, Romance",14,8,24
88,Baltasar Korm\u00e1kur,"Action, Adventure, Animation, Family, Fiction, Science",0,0,0
89,Barbet Schroeder,"Drama, Fantasy",24,1,58
90,Barbra Streisand,"Action, Comedy, Fantasy, Fiction, Horror, Science",9,2,0
91,Barry Cook,"Action, Comedy, Crime, Drama, History, Romance, Thriller, War",10,6,43
92,Barry Levinson,"Action, Adventure, Comedy, Drama, Fiction, Science",41,1,272
93,Barry Sonnenfeld,"Action, Drama, Family, Romance, Western",23,1,188
94,Barry W. Blaustein,"Action, Crime, Drama, Romance, Thriller",4,4,6
95,Bart Freundlich,"Fiction, Horror, Science, Thriller",16,5,38
96,Baz Luhrmann,"Comedy, Crime, Drama, Thriller",18,1,1000
97,Beeban Kidron,"Action, Adventure, Drama, Fantasy, Fiction, Horror, Science, Thriller, War",19,5,17
98,Ben Affleck,"Action, Adventure, Comedy, Crime, Mystery, Romance, Thriller",8,2,0
99,Ben Falcone,"Action, Drama, History",6,1,265
100,Ben Garant,Comedy,10,1,0
101,Ben Gluck,"Animation, Family",5,1,0
102,Ben Lewin,"Action, Adventure, Drama, History, War",20,18,20
103,Ben Sharpsteen,"Action, Adventure, Drama, Fantasy, Fiction, Horror, Romance, Science, Thriller",40,2,0
104,Ben Stiller,"Drama, Fiction, Mystery, Science",19,1,0
105,Ben Wheatley,"Action, Crime, Drama, Horror, Mystery, Thriller",23,33,214
106,Ben Younger,"Action, Drama, History",8,7,46
107,Benh Zeitlin,"Animation, Comedy, Family, Fantasy",6,2,188
108,Bennett Miller,Comedy,9,2,152
109,Benson Lee,"Horror, Mystery, Thriller",4,9,9
110,Bernardo Bertolucci,Thriller,25,2,973
111,Bernhard Wicki,Documentary,15,26,0
112,Betty Thomas,"Drama, History, Romance",30,2,84
113,Bill Condon,"Action, Adventure, Comedy, Crime, Drama, Family, Fiction, Horror, Romance, Science",21,1,386
114,Bill Paxton,"Adventure, Animation, Family",5,4,0
115,Bille Woodruff,"Action, Comedy, Crime, Western",88,4,23
116,Billy Bob Thornton,"Drama, Thriller",6,1,0
117,Billy Ray,"Action, Adventure, Comedy, Crime, Drama, Music, Mystery, Romance, Thriller, Western",5,1,53
118,Billy Wilder,"Mystery, Thriller",27,6,0
119,Blake Edwards,"Action, Adventure, Comedy, Fantasy, Fiction, Horror, Mystery, Science, Thriller",54,1,688
120,Boaz Yakin,Comedy,10,9,132
121,Bob Clark,Documentary,30,16,84
122,Bob Fosse,"Comedy, Crime, Horror, Thriller",8,1,189
123,Bob Gosse,Comedy,4,3,10
124,Bob Odenkirk,"Adventure, Animation, Comedy, Family, Romance",21,3,0
125,Bob Spiers,"Action, Fiction, Science",38,8,14
126,Bobby Farrelly,Documentary,18,7,101
127,Bobcat Goldthwait,"Comedy, Drama",34,19,800
128,Bong Joon-ho,"Action, Adventure, Comedy, Thriller",14,3,0
129,Bonnie Hunt,"Action, Adventure, Fiction, Science, Thriller",4,2,597
130,Brad Anderson,"Drama, Thriller",43,18,122
131,Brad Bird,"Adventure, Animation, Crime, Drama, Mystery, Romance",11,2,663
132,Brad Furman,"Comedy, Drama, Romance",14,0,65
133,Brad Peyton,"Drama, History, Thriller, War",17,3,62
134,Brad Silberling,"Animation, Fiction, Science",31,6,52
135,Brandon Camp,"Action, Adventure, Drama, Family, Fantasy, Romance, Thriller",2,0,7
136,Breck Eisner,"Adventure, Drama, Western",11,1,42
137,Brenda Chapman,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Horror, Romance, Thriller",3,1,59
138,Brendan Malloy,"Drama, Foreign, Romance",40,2,2
139,Brett Leonard,"Comedy, Drama, Family, Romance, War",25,3,32
140,Brett Ratner,"Action, Adventure, Animation, Comedy, Family",58,2,420
141,Brian A Miller,"Action, Adventure, Crime, Drama, Family, Fantasy, Fiction, Romance, Science, Thriller",10,1,32
142,Brian De Palma,"Drama, History, War",43,41,0
143,Brian Helgeland,"Action, Adventure, Animation, Drama, Family, Fantasy, Fiction, History, Science, Thriller, War",9,1,241
144,Brian Klugman,"Action, Adventure, Drama, Family, Fantasy, Fiction, Horror, Mystery, Science, Thriller",2,4,49
145,Brian Koppelman,"Action, Fantasy, Horror",4,1,34
146,Brian Levant,"Action, Adventure, Fantasy, Fiction, Horror, Science",20,3,32
147,Brian Robbins,Comedy,20,1,48
148,Brian Taylor,"Comedy, Romance",6,2,0
149,Bruce Beresford,"Comedy, Fiction, Music, Science, Western",54,2,78
150,Bruce Campbell,"Action, Adventure, Drama, History, Thriller, War",8,18,0
151,Bruce Hunt,"Action, Adventure, Comedy, Crime, Drama, Fiction, History, Romance, Science, Thriller, War",1,0,2
152,Bruce Malmuth,"Action, Adventure, Animation, Family, Fantasy",9,0,6
153,Bryan Singer,"Crime, Drama, Horror, Romance, Thriller",17,4,0
154,Burr Steers,"Action, Adventure, Crime, Drama, History, Mystery, Romance, Thriller",9,8,23
155,Byron Howard,"Action, Drama, Horror, Thriller",6,1,59
156,C. Jay Cox,"Comedy, Drama, History, Romance, War",6,3,6
157,C\u00e9dric Klapisch,"Comedy, Drama, Romance",0,0,0
158,Callan Brunker,"Comedy, Drama, History, Music, Romance",4,0,0
159,Cameron Crowe,"Horror, Thriller",16,1,488
