Producers,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Music,Mystery,Romance,Science,Thriller,War,Western
"""DIA"" Productions GmbH & Co. KG",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100 Bares,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
1019 Entertainment,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10th Hole Productions,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1492 Pictures,4,10,1,6,0,0,2,9,10,1,0,0,0,0,0,1,1,1,0,0
16 Block Productions,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1818,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1821 Pictures,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
19 Entertainment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1984 Private Defense Contractors,2,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0
2 Entertain,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2 Loop Films,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
20th Century Fox Home Entertainment,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20th Century Fox Russia,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
21 Laps Entertainment,3,3,0,11,0,0,3,4,3,1,0,0,0,0,0,2,1,0,0,0
22 & Indiana Pictures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26 Films,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2929 Productions,0,1,0,1,1,0,8,0,1,1,0,1,1,0,1,1,1,3,0,0
2DUX²,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
2S Films,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3 Arts Entertainment,3,0,0,3,0,0,5,0,1,2,0,1,0,0,0,3,2,2,2,0
3 in the Box,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33andOut Productions,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360 Pictures,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
369 Productions,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3D Entertainment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DTK,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3Foot7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3Mark Entertainment,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3ality Digital Entertainment,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4 Kids Entertainment,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
40 Acres & A Mule Filmworks,1,0,0,3,3,0,10,0,0,0,0,1,1,0,0,2,0,2,1,0
4DH Films,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4M,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5150 Action,1,1,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0
80 Days Productions,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87Eleven,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8:38 Productions,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
98 MPH Productions,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Band Apart,4,0,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0
A Bigger Boat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A Grand Elephant,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Hot Dog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Loopy Production LLC,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
A Plus Image,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
A&B Producoes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
A&E Television Networks,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A-Line Pictures,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Team,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J.O.Z. Films,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
A113,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
A24,0,0,0,3,1,0,6,0,0,2,0,0,1,0,1,1,2,3,0,0
ABC Pictures,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
ADF Acquisitions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE Two Film Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
AFG Talons Productions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI-Film,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ANA Media,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
APJAC Productions,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0
AR Films,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AR-TL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARD Degeto Film,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ASAF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ASIG Productions,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ATO Pictures,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AVCO Embassy Pictures,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0
AZL Productions KG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Aardman Animations,0,3,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Abandon Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abe Shuji,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Abraham Productions,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Abu Dhabi Film Commission,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academy Films,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Access Films,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achte Babelsberg Film,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Across the River Productions,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Act III,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Act III Communications,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Ad Hominem Enterprises,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AdScott Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ada Films,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Fields Productions,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0
Adam Schroeder Productions,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
